index,image_url
73,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTn3MNyZB/full/max/0/default.jpg
74,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTn9tuohT/full/max/0/default.jpg
75,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTnGSSdqj/full/max/0/default.jpg
76,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTnNyyTz1/full/max/0/default.jpg
77,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTnVXWJ8H/full/max/0/default.jpg
78,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTnc538GZ/full/max/0/default.jpg
79,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTnicZxQq/full/max/0/default.jpg
80,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUGatryey/full/max/0/default.jpg
81,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUGhSPooF/full/max/0/default.jpg
82,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUGoyvdwX/full/max/0/default.jpg
83,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUGvXTU5o/full/max/0/default.jpg
84,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUH34zJE5/full/max/0/default.jpg
85,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUH9cX8NM/full/max/0/default.jpg
86,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUHGA3xWd/full/max/0/default.jpg
87,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUHNhaneu/full/max/0/default.jpg
88,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUHVF7coB/full/max/0/default.jpg
89,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUHbneSwT/full/max/0/default.jpg
90,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUmU4wUBb/full/max/0/default.jpg
91,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUmacUJKs/full/max/0/default.jpg
92,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUmhA18U9/full/max/0/default.jpg
93,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUmohXxcR/full/max/0/default.jpg
94,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUmvF4nkh/full/max/0/default.jpg
95,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUn2nbcty/full/max/0/default.jpg
96,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUn9L8T3F/full/max/0/default.jpg
97,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUnFsfHBX/full/max/0/default.jpg
98,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUnNRC7Ko/full/max/0/default.jpg
99,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kUnUxiwU5/full/max/0/default.jpg
100,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbmPz4xau/full/max/0/default.jpg
101,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbmWXbnjB/full/max/0/default.jpg
102,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbmd58csT/full/max/0/default.jpg
103,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbmjcfT1j/full/max/0/default.jpg
104,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbmrACHA1/full/max/0/default.jpg
105,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbmxhj7JH/full/max/0/default.jpg
106,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4nbn5FFwSZ/full/max/0/default.jpg
