index,image_url
198,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngGEu22Uh/full/max/0/default.jpg
199,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngGMSYrcy/full/max/0/default.jpg
200,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFGTtsjo/full/max/0/default.jpg
201,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFP1Rht5/full/max/0/default.jpg
202,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFVYxY2M/full/max/0/default.jpg
203,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFc6VNAd/full/max/0/default.jpg
204,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFie2CJu/full/max/0/default.jpg
205,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFqBZ2TB/full/max/0/default.jpg
206,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poFwj5rbT/full/max/0/default.jpg
207,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poG4Gcgjj/full/max/0/default.jpg
208,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poGAp9Wt1/full/max/0/default.jpg
209,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4poGHMgM2H/full/max/0/default.jpg
210,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pok9dyNGR/full/max/0/default.jpg
211,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokGBWCQh/full/max/0/default.jpg
212,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokNj32Yy/full/max/0/default.jpg
213,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokVGZrhF/full/max/0/default.jpg
214,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokbp6gqX/full/max/0/default.jpg
215,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokiMdWyo/full/max/0/default.jpg
216,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokpuAM85/full/max/0/default.jpg
217,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pokwShBGM/full/max/0/default.jpg
218,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pom3zE1Qd/full/max/0/default.jpg
219,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4pomAXkqYu/full/max/0/default.jpg
220,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppF2p3ro3/full/max/0/default.jpg
221,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppF9MagwK/full/max/0/default.jpg
222,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFFu7X5b/full/max/0/default.jpg
223,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFNSeMDs/full/max/0/default.jpg
224,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFUzBBN9/full/max/0/default.jpg
225,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFbXi1WR/full/max/0/default.jpg
226,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFi5Eqeh/full/max/0/default.jpg
227,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFpcmfny/full/max/0/default.jpg
228,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppFwAJVwF/full/max/0/default.jpg
229,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppG3hqL5X/full/max/0/default.jpg
230,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppjuz8MKf/full/max/0/default.jpg
231,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppk2XfBTw/full/max/0/default.jpg
232,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppk95C1cD/full/max/0/default.jpg
233,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppkFciqkV/full/max/0/default.jpg
234,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppkNAFftm/full/max/0/default.jpg
235,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppkUhnW33/full/max/0/default.jpg
236,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppkbFKLBK/full/max/0/default.jpg
237,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppkhnrAKb/full/max/0/default.jpg
238,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ppkpLNzTs/full/max/0/default.jpg
